observation_id,record_id,frame_id,timestamp_seconds,frame_path,text,confidence,polygon_json,language_profile,ocr_version
airfryer-002-ocr-00024,airfryer-002,frame_000004,20.000,data_video/keyframes/airfryer-002/frame_000004.jpg,OREO,0.993908,"[[690.0,381.0],[769.0,368.0],[773.0,393.0],[694.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00025,airfryer-002,frame_000005,25.000,data_video/keyframes/airfryer-002/frame_000005.jpg,Library,0.999506,"[[366.0,261.0],[407.0,259.0],[409.0,278.0],[368.0,280.0]]",de,PP-OCRv5
airfryer-002-ocr-00026,airfryer-002,frame_000005,25.000,data_video/keyframes/airfryer-002/frame_000005.jpg,y Kitchen,0.975195,"[[399.0,259.0],[442.0,256.0],[443.0,275.0],[400.0,278.0]]",de,PP-OCRv5
airfryer-002-ocr-00027,airfryer-002,frame_000005,25.000,data_video/keyframes/airfryer-002/frame_000005.jpg,Puff Pastry,0.898337,"[[633.0,284.0],[720.0,293.0],[718.0,318.0],[631.0,309.0]]",de,PP-OCRv5
airfryer-002-ocr-00028,airfryer-002,frame_000005,25.000,data_video/keyframes/airfryer-002/frame_000005.jpg,SHEETS,0.981131,"[[653.0,308.0],[700.0,308.0],[700.0,319.0],[653.0,319.0]]",de,PP-OCRv5
airfryer-002-ocr-00029,airfryer-002,frame_000005,25.000,data_video/keyframes/airfryer-002/frame_000005.jpg,OREO,0.995493,"[[690.0,381.0],[769.0,368.0],[773.0,393.0],[694.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00030,airfryer-002,frame_000006,30.000,data_video/keyframes/airfryer-002/frame_000006.jpg,Chef,0.999475,"[[377.0,219.0],[405.0,214.0],[409.0,233.0],[380.0,238.0]]",de,PP-OCRv5
airfryer-002-ocr-00031,airfryer-002,frame_000006,30.000,data_video/keyframes/airfryer-002/frame_000006.jpg,Library Kitchen,0.998734,"[[357.0,259.0],[435.0,259.0],[435.0,280.0],[357.0,280.0]]",de,PP-OCRv5
airfryer-002-ocr-00032,airfryer-002,frame_000006,30.000,data_video/keyframes/airfryer-002/frame_000006.jpg,Puff Pastry,0.924859,"[[633.0,285.0],[720.0,293.0],[718.0,318.0],[631.0,310.0]]",de,PP-OCRv5
airfryer-002-ocr-00033,airfryer-002,frame_000006,30.000,data_video/keyframes/airfryer-002/frame_000006.jpg,SHEETS,0.968463,"[[653.0,308.0],[700.0,308.0],[700.0,319.0],[653.0,319.0]]",de,PP-OCRv5
airfryer-002-ocr-00034,airfryer-002,frame_000006,30.000,data_video/keyframes/airfryer-002/frame_000006.jpg,OREO,0.994617,"[[690.0,381.0],[769.0,368.0],[773.0,393.0],[694.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00035,airfryer-002,frame_000007,35.000,data_video/keyframes/airfryer-002/frame_000007.jpg,Chef,0.999702,"[[379.0,222.0],[406.0,220.0],[408.0,237.0],[381.0,239.0]]",de,PP-OCRv5
airfryer-002-ocr-00036,airfryer-002,frame_000007,35.000,data_video/keyframes/airfryer-002/frame_000007.jpg,Library Kitchen,0.996743,"[[357.0,263.0],[435.0,261.0],[436.0,282.0],[357.0,284.0]]",de,PP-OCRv5
airfryer-002-ocr-00037,airfryer-002,frame_000007,35.000,data_video/keyframes/airfryer-002/frame_000007.jpg,Puff Pastry,0.941450,"[[633.0,285.0],[721.0,294.0],[719.0,318.0],[631.0,309.0]]",de,PP-OCRv5
airfryer-002-ocr-00038,airfryer-002,frame_000007,35.000,data_video/keyframes/airfryer-002/frame_000007.jpg,SHEETS,0.985822,"[[651.0,305.0],[700.0,307.0],[699.0,321.0],[650.0,319.0]]",de,PP-OCRv5
airfryer-002-ocr-00039,airfryer-002,frame_000007,35.000,data_video/keyframes/airfryer-002/frame_000007.jpg,OREO,0.996083,"[[690.0,381.0],[769.0,367.0],[773.0,392.0],[694.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00040,airfryer-002,frame_000008,40.000,data_video/keyframes/airfryer-002/frame_000008.jpg,Library Kitchen,0.957313,"[[360.0,264.0],[437.0,261.0],[438.0,283.0],[361.0,286.0]]",de,PP-OCRv5
airfryer-002-ocr-00041,airfryer-002,frame_000008,40.000,data_video/keyframes/airfryer-002/frame_000008.jpg,Puff Pastry,0.923657,"[[633.0,285.0],[720.0,293.0],[718.0,318.0],[631.0,310.0]]",de,PP-OCRv5
airfryer-002-ocr-00042,airfryer-002,frame_000008,40.000,data_video/keyframes/airfryer-002/frame_000008.jpg,SHEETS,0.950287,"[[652.0,306.0],[701.0,306.0],[701.0,320.0],[652.0,320.0]]",de,PP-OCRv5
airfryer-002-ocr-00043,airfryer-002,frame_000008,40.000,data_video/keyframes/airfryer-002/frame_000008.jpg,OREO,0.996390,"[[691.0,381.0],[769.0,368.0],[773.0,393.0],[695.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00044,airfryer-002,frame_000009,45.000,data_video/keyframes/airfryer-002/frame_000009.jpg,Chef,0.999476,"[[377.0,224.0],[405.0,219.0],[408.0,238.0],[380.0,243.0]]",de,PP-OCRv5
airfryer-002-ocr-00045,airfryer-002,frame_000009,45.000,data_video/keyframes/airfryer-002/frame_000009.jpg,Library Kitchen,0.982233,"[[357.0,264.0],[435.0,261.0],[436.0,283.0],[357.0,286.0]]",de,PP-OCRv5
airfryer-002-ocr-00046,airfryer-002,frame_000009,45.000,data_video/keyframes/airfryer-002/frame_000009.jpg,Puff Pastry,0.746030,"[[633.0,280.0],[728.0,300.0],[723.0,328.0],[628.0,309.0]]",de,PP-OCRv5
airfryer-002-ocr-00047,airfryer-002,frame_000009,45.000,data_video/keyframes/airfryer-002/frame_000009.jpg,SHEETS,0.944874,"[[650.0,307.0],[703.0,311.0],[702.0,325.0],[649.0,321.0]]",de,PP-OCRv5
airfryer-002-ocr-00048,airfryer-002,frame_000009,45.000,data_video/keyframes/airfryer-002/frame_000009.jpg,OREO,0.996273,"[[691.0,381.0],[769.0,367.0],[773.0,392.0],[695.0,406.0]]",de,PP-OCRv5
