record_id,inventory_status,source_page_url,direct_url,source_variant,transport,local_path,downloaded_at,bytes,sha256,content_type,etag,last_modified,authorization_reference
airfryer-002,owner_authorized_candidate,https://archive.org/details/gctvva-Library_Kitchen_-_Air_Fryer_Oreos,https://archive.org/download/gctvva-Library_Kitchen_-_Air_Fryer_Oreos/Library_Kitchen_-_Air_Fryer_Oreos.mp4,h.264,existing_recovery,data_video/raw/archive_candidates/airfryer-002.mp4,2026-07-22T08:33:45.656307+00:00,35728437,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,,,,owner-confirmed-2026-07-21-dataset-expansion
airfryer-005,owner_authorized_candidate,https://archive.org/details/youtube-RaolUs_38zQ,https://archive.org/download/youtube-RaolUs_38zQ/RaolUs_38zQ.mp4,h.264,existing_recovery,data_video/raw/archive_candidates/airfryer-005.mp4,2026-07-22T08:33:46.911785+00:00,34776570,af30c198eef94cae98d3b1c2ec8fc7ba6b0571979c2701c2d108dd8f0c33bd3a,,,,owner-confirmed-2026-07-21-dataset-expansion
airfryer-006,owner_authorized_candidate,https://archive.org/details/make-easy-air-fryer-oreos-at-home-with-only-2-ingredients,https://archive.org/download/make-easy-air-fryer-oreos-at-home-with-only-2-ingredients/Make%20easy%20%27Air%20Fryer%20Oreos%27%20at%20home%20with%20only%202%20ingredients.mp4,MPEG4,existing_recovery,data_video/raw/archive_candidates/airfryer-006.mp4,2026-07-21T11:07:13.822187+00:00,1673333,5cc4dcbc92d594d1f19086d5fc32570b59210ebf5a1b01f2bb31cb362fc17b40,,,,owner-confirmed-2026-07-21-dataset-expansion
airfryer-008,owner_authorized_candidate,https://archive.org/details/youtube-Xt12oOxMGfU,https://archive.org/download/youtube-Xt12oOxMGfU/Xt12oOxMGfU.mp4,h.264,existing_recovery,data_video/raw/archive_candidates/airfryer-008.mp4,2026-07-22T08:33:49.902757+00:00,50220509,a554d9e897b397882d1b7b839a0d750d2fa0bccbebc0e082129b1ae4dd5789c6,,,,owner-confirmed-2026-07-21-dataset-expansion
airfryer-011,owner_authorized_candidate,https://archive.org/details/monterca-Monterey_Recreation_Presents_-_That_s_Good_Air_Fryer_Grilled_Cheese,https://archive.org/download/monterca-Monterey_Recreation_Presents_-_That_s_Good_Air_Fryer_Grilled_Cheese/Monterey_Recreation_Presents_-_That_s_Good_Air_Fryer_Grilled_Cheese.mp4,h.264,existing_recovery,data_video/raw/archive_candidates/airfryer-011.mp4,2026-07-21T11:52:25.849704+00:00,9570055,d47a8a1077c51d764227d20be8f4e23b4f0fbd6d6f30df5a6c4b2e6f3c067038,,,,owner-confirmed-2026-07-21-dataset-expansion
pressure-006,owner_authorized_candidate,https://archive.org/details/multi-function-pressure-cooker,https://archive.org/download/multi-function-pressure-cooker/Multi%20Function%20Pressure%20Cooker.mp4,MPEG4,existing_recovery,data_video/raw/archive_candidates/pressure-006.mp4,2026-07-21T11:26:03.932526+00:00,2488479,10589727dbc1c36db2bf46976ee21269c8c85c7300888fce00df6a2680214cf9,,,,owner-confirmed-2026-07-21-dataset-expansion
pressure-009,owner_authorized_candidate,https://archive.org/details/best-pressure-cooker-by-decent-cookware-built-for-everyday-indian-kitchens,https://archive.org/download/best-pressure-cooker-by-decent-cookware-built-for-everyday-indian-kitchens/Best%20Pressure%20Cooker%20by%20Decent%20Cookware%20%E2%80%93%20Built%20for%20Everyday%20Indian%20Kitchens.mp4,MPEG4,existing_recovery,data_video/raw/archive_candidates/pressure-009.mp4,2026-07-21T11:26:04.445733+00:00,1474990,22db72ec5f1aa7e25feed343962d8521a3dbb7ae9d01e6eb361363e5baa2f894,,,,owner-confirmed-2026-07-21-dataset-expansion
pressure-010,owner_authorized_candidate,https://archive.org/details/mctvscia-Instant_Pot._Group_C,https://archive.org/download/mctvscia-Instant_Pot._Group_C/Instant_Pot._Group_C.mp4,h.264,existing_recovery,data_video/raw/archive_candidates/pressure-010.mp4,2026-07-22T08:33:52.493417+00:00,24700950,41d0990e12aae28db4f788786354e068c25745f7ee423709ae5bae656c280e37,,,,owner-confirmed-2026-07-21-dataset-expansion
pressure-017,owner_authorized_candidate,https://archive.org/details/pressure-cooking,https://archive.org/download/pressure-cooking/Pressure%20Cooking.mp4,MPEG4,existing_recovery,data_video/raw/archive_candidates/pressure-017.mp4,2026-07-22T08:33:54.080850+00:00,20208685,f88a086892b374ea9f34c1f1249553682ff130dc08bdc3bea09a22c4d97a8d30,,,,owner-confirmed-2026-07-21-dataset-expansion
