record_id,download_url
espresso-004,https://upload.wikimedia.org/wikipedia/commons/transcoded/1/1c/Der_perfekte_Espresso_aus_dem_Siebtr%C3%A4ger.ogv/Der_perfekte_Espresso_aus_dem_Siebtr%C3%A4ger.ogv.480p.vp9.webm
espresso-005,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/36/Morning_Espresso_Routine_-_Progress%2C_Results%2C_Observations_and_Miscellany.webm/Morning_Espresso_Routine_-_Progress%2C_Results%2C_Observations_and_Miscellany.webm.480p.vp9.webm
espresso-006,https://upload.wikimedia.org/wikipedia/commons/transcoded/b/b3/%D0%9F%D1%80%D0%B8%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BC%D0%B0%D0%BA%D0%B8%D0%B0%D1%82%D0%BE.webm/%D0%9F%D1%80%D0%B8%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BC%D0%B0%D0%BA%D0%B8%D0%B0%D1%82%D0%BE.webm.480p.vp9.webm
espresso-007,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/4e/Kahvin_tiputtelu_Moccamasterilla.webm/Kahvin_tiputtelu_Moccamasterilla.webm.480p.vp9.webm
espresso-008,https://upload.wikimedia.org/wikipedia/commons/transcoded/a/ad/Machine_%C3%A0_caf%C3%A9_%C3%A0_l%27h%C3%B4tel_de_la_Cloche_%28Dole%2C_Jura%2C_France%29.webm/Machine_%C3%A0_caf%C3%A9_%C3%A0_l%27h%C3%B4tel_de_la_Cloche_%28Dole%2C_Jura%2C_France%29.webm.480p.vp9.webm
espresso-009,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/47/Tassimo_coffee_system.webm/Tassimo_coffee_system.webm.480p.vp9.webm
espresso-010,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/dc/The_bean_that_could_save_coffee_from_climate_change.webm/The_bean_that_could_save_coffee_from_climate_change.webm.480p.vp9.webm
espresso-011,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/3b/I_Am_CDC_-_Amanda_MacGurn.webm/I_Am_CDC_-_Amanda_MacGurn.webm.480p.vp9.webm
espresso-012,https://upload.wikimedia.org/wikipedia/commons/transcoded/5/57/Know_Your_Crew...Four%21.webm/Know_Your_Crew...Four%21.webm.480p.vp9.webm
espresso-013,https://upload.wikimedia.org/wikipedia/commons/transcoded/8/88/Latte_art_flower_-_01.ogv/Latte_art_flower_-_01.ogv.480p.vp9.webm
espresso-014,https://upload.wikimedia.org/wikipedia/commons/transcoded/a/a7/Kaffe_-_Ystad-2024.ogg/Kaffe_-_Ystad-2024.ogg.480p.vp9.webm
espresso-015,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/21/Morning_Espresso_Routine_%28abridged_version%29.webm/Morning_Espresso_Routine_%28abridged_version%29.webm.480p.vp9.webm
espresso-016,https://upload.wikimedia.org/wikipedia/commons/transcoded/8/83/Sunday_Morning_Espresso_Routine_-_Grind_%2B_distribute_%2B_tamp_%2B_extraction_%2815-Second_Abridged_Version%29.webm/Sunday_Morning_Espresso_Routine_-_Grind_%2B_distribute_%2B_tamp_%2B_extraction_%2815-Second_Abridged_Version%29.webm.480p.vp9.webm
pressure-002,https://upload.wikimedia.org/wikipedia/commons/7/70/Home_Made_Alcohol_Pressure_Cooker_Modification.webm
pressure-003,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/f3/Secretaria_Na_Cozinha-_Feijoada_leve.webm/Secretaria_Na_Cozinha-_Feijoada_leve.webm.480p.vp9.webm
washing-004,https://upload.wikimedia.org/wikipedia/commons/transcoded/5/55/Armenian_Sign_Language_%28ArSL%29_-_%D5%AC%D5%BE%D5%A1%D6%81%D6%84%D5%AB_%D5%B4%D5%A5%D6%84%D5%A5%D5%B6%D5%A1_-_washing_machine.webm/Armenian_Sign_Language_%28ArSL%29_-_%D5%AC%D5%BE%D5%A1%D6%81%D6%84%D5%AB_%D5%B4%D5%A5%D6%84%D5%A5%D5%B6%D5%A1_-_washing_machine.webm.480p.vp9.webm
washing-005,https://upload.wikimedia.org/wikipedia/commons/transcoded/7/75/Bauerntag_im_Freilichtmuseum_Roscheider_Hof_2016.webm/Bauerntag_im_Freilichtmuseum_Roscheider_Hof_2016.webm.480p.vp9.webm
washing-006,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/09/Crouzet_82432_Timer_Motor.webm/Crouzet_82432_Timer_Motor.webm.480p.vp9.webm
washing-007,https://upload.wikimedia.org/wikipedia/commons/transcoded/9/90/Wringer_washer.webm/Wringer_washer.webm.480p.vp9.webm
washing-008,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c6/A_white_washing_machine_manufactured_by_Husqvarna_in_the_1990s.webm/A_white_washing_machine_manufactured_by_Husqvarna_in_the_1990s.webm.480p.vp9.webm
washing-009,https://upload.wikimedia.org/wikipedia/commons/transcoded/a/a4/Aerra%27s_Films_of_the_Ordinary_XV_--_Washing_machine_pythagorean_cup.webm/Aerra%27s_Films_of_the_Ordinary_XV_--_Washing_machine_pythagorean_cup.webm.480p.vp9.webm
washing-010,https://upload.wikimedia.org/wikipedia/commons/transcoded/6/68/The_Dancing_Washing_Machine_from_Videocon_India.webm/The_Dancing_Washing_Machine_from_Videocon_India.webm.480p.vp9.webm
washing-011,https://upload.wikimedia.org/wikipedia/commons/1/1b/Crazy_Asko_washing_machine.webm
washing-012,https://upload.wikimedia.org/wikipedia/commons/transcoded/e/e1/Rhof-histWaschmaschine.ogv/Rhof-histWaschmaschine.ogv.240p.vp9.webm
washing-013,https://upload.wikimedia.org/wikipedia/commons/transcoded/6/67/Episode_26_-_Sidekick_-_KEEP_IT_WEIRD.webm/Episode_26_-_Sidekick_-_KEEP_IT_WEIRD.webm.480p.vp9.webm
washing-014,https://upload.wikimedia.org/wikipedia/commons/transcoded/8/87/20160916-AMS-LSC-9001_USDA_Farmers_Market_and_Ocean_Spray_Cooperative_Cranberry_Bog_Harvest.webm/20160916-AMS-LSC-9001_USDA_Farmers_Market_and_Ocean_Spray_Cooperative_Cranberry_Bog_Harvest.webm.480p.vp9.webm
washing-015,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/49/Police_K9_Catches_His_First_Suspect_%26_Makes_Him_Scream_In_Pain%21.webm/Police_K9_Catches_His_First_Suspect_%26_Makes_Him_Scream_In_Pain%21.webm.480p.vp9.webm
washing-016,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/fd/The_Paneless_Window_Washer_%281937%29.webm/The_Paneless_Window_Washer_%281937%29.webm.480p.vp9.webm
washing-017,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c4/Wuppertal_-_Zoo_-_Loxodonta_africana_04_%281%29_ies.webm/Wuppertal_-_Zoo_-_Loxodonta_africana_04_%281%29_ies.webm.480p.vp9.webm
washing-018,https://upload.wikimedia.org/wikipedia/commons/transcoded/8/84/Controlling-the-motion-of-multiple-objects-on-a-Chladni-plate-ncomms12764-s5.ogv/Controlling-the-motion-of-multiple-objects-on-a-Chladni-plate-ncomms12764-s5.ogv.480p.vp9.webm
washing-019,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/47/K%C3%A4rcher_K3.550_pressure_washing_using_a_Dirtblaster_wand_attachment.webm/K%C3%A4rcher_K3.550_pressure_washing_using_a_Dirtblaster_wand_attachment.webm.480p.vp9.webm
washing-020,https://upload.wikimedia.org/wikipedia/commons/transcoded/9/98/Parts_washer.webm/Parts_washer.webm.480p.vp9.webm
washing-021,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/f9/Pressure_washer_rotary_attachment_in_slow_motion.webm/Pressure_washer_rotary_attachment_in_slow_motion.webm.480p.vp9.webm
washing-022,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/cd/Pressure_washing_screamer.webm/Pressure_washing_screamer.webm.480p.vp9.webm
washing-023,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/22/Skoda_Yeti.ogv/Skoda_Yeti.ogv.480p.vp9.webm
washing-024,https://upload.wikimedia.org/wikipedia/commons/b/b8/%22_LEATHERNECKS_ON_PARADE_%22_1942_UNITED_STATES_MARINE_CORPS_%26_JOE_E._BROWN_PROMO_GG13165.webm
washing-025,https://upload.wikimedia.org/wikipedia/commons/3/30/About_Fallout_%281963%29.webm
washing-026,https://upload.wikimedia.org/wikipedia/commons/1/13/Mining_and_Preparation_of_Anthracite_Coal.webm
washing-027,https://upload.wikimedia.org/wikipedia/commons/0/0b/SPINNING_SLINKY_-_Punjabi.webm
vacuum-003,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/32/Robot_vacuum_cleaner_-_Japan_-_2024_June_24.webm/Robot_vacuum_cleaner_-_Japan_-_2024_June_24.webm.480p.vp9.webm
vacuum-004,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/05/Staubsauger_Henry_Plus%21_170_Breakdown.webm/Staubsauger_Henry_Plus%21_170_Breakdown.webm.480p.vp9.webm
vacuum-005,https://upload.wikimedia.org/wikipedia/commons/transcoded/5/53/Armenian_Sign_Language_%28ArSL%29_-_%D6%83%D5%B8%D5%B7%D5%A5%D5%AF%D5%B8%D6%82%D5%AC_-_vacuum_cleaner.webm/Armenian_Sign_Language_%28ArSL%29_-_%D6%83%D5%B8%D5%B7%D5%A5%D5%AF%D5%B8%D6%82%D5%AC_-_vacuum_cleaner.webm.480p.vp9.webm
vacuum-006,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/0a/NASA_Lander_to_Test_Vacuum_Cleaner_on_Moon_for_Sample_Collection_%28Dennis_Harris_LPV%29.webm/NASA_Lander_to_Test_Vacuum_Cleaner_on_Moon_for_Sample_Collection_%28Dennis_Harris_LPV%29.webm.480p.vp9.webm
vacuum-007,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/22/Sparking_commutator.ogv/Sparking_commutator.ogv.480p.vp9.webm
vacuum-008,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/dc/A_day_in_the_life_of_NEATO_our_cleaning_bot.webm/A_day_in_the_life_of_NEATO_our_cleaning_bot.webm.480p.vp9.webm
vacuum-009,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/f3/Vacuuming_with_Snickerdoodle_%28GEDC2330%29.webm/Vacuuming_with_Snickerdoodle_%28GEDC2330%29.webm.480p.vp9.webm
vacuum-010,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/4c/Vorwerk_Kobold_VR100_in_Zeitraffer_im_B%C3%BCro.webm/Vorwerk_Kobold_VR100_in_Zeitraffer_im_B%C3%BCro.webm.480p.vp9.webm
vacuum-011,https://upload.wikimedia.org/wikipedia/commons/transcoded/8/84/Standwerkers_hebben_hoogste_woord_tijdens_nationaal_concours-510005.ogv/Standwerkers_hebben_hoogste_woord_tijdens_nationaal_concours-510005.ogv.480p.vp9.webm
vacuum-012,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/4f/Waarom_piekuren%5E_Weeknummer_50-45_-_Open_Beelden_-_30705.ogv/Waarom_piekuren%5E_Weeknummer_50-45_-_Open_Beelden_-_30705.ogv.240p.vp9.webm
vacuum-013,https://upload.wikimedia.org/wikipedia/commons/transcoded/e/e2/Artemis_IV_Liquid_Oxygen_Tank_Constructed%2C_Moves_to_Next_Phase_of_Production_%28MAF_20260526_CS4_LOX_VAC_to_CellD%29.webm/Artemis_IV_Liquid_Oxygen_Tank_Constructed%2C_Moves_to_Next_Phase_of_Production_%28MAF_20260526_CS4_LOX_VAC_to_CellD%29.webm.480p.vp9.webm
vacuum-014,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/f2/Ivanka_Vacuuming.webm/Ivanka_Vacuuming.webm.480p.vp9.webm
vacuum-015,https://upload.wikimedia.org/wikipedia/commons/transcoded/b/b3/STORIE_Thermal_Vacuum_Test_at_NASA_Goddard_Space_Flight_Center_%28SVS14874_060925_TVAC-Part1_4K_YouTube%29.webm/STORIE_Thermal_Vacuum_Test_at_NASA_Goddard_Space_Flight_Center_%28SVS14874_060925_TVAC-Part1_4K_YouTube%29.webm.480p.vp9.webm
vacuum-016,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/21/STORIE_Thermal_Vacuum_Test_at_NASA_Goddard_Space_Flight_Center_%28SVS14874_061025_TVAC-Part2_4K_YouTube%29.webm/STORIE_Thermal_Vacuum_Test_at_NASA_Goddard_Space_Flight_Center_%28SVS14874_061025_TVAC-Part2_4K_YouTube%29.webm.480p.vp9.webm
vacuum-017,https://upload.wikimedia.org/wikipedia/commons/transcoded/a/a8/Alabama_Rally_Against_Injustice_protest_in_Hoover_6-6-20.webm/Alabama_Rally_Against_Injustice_protest_in_Hoover_6-6-20.webm.480p.vp9.webm
vacuum-018,https://upload.wikimedia.org/wikipedia/commons/transcoded/e/e3/Vacuum_Cannon.webm/Vacuum_Cannon.webm.480p.vp9.webm
vacuum-019,https://upload.wikimedia.org/wikipedia/commons/c/c7/Hoover_Grandchildren_Playing_Outside_%2831-MP-613%29.webm
vacuum-020,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/37/Interview_with_Nan_Hoover_by_Willem_van_Weelden.webm/Interview_with_Nan_Hoover_by_Willem_van_Weelden.webm.480p.vp9.webm
vacuum-021,https://upload.wikimedia.org/wikipedia/commons/transcoded/7/7b/Observation-of-Live-Ticks-%28Haemaphysalis-flava%29-by-Scanning-Electron-Microscopy-under-High-Vacuum-pone.0032676.s002.ogv/Observation-of-Live-Ticks-%28Haemaphysalis-flava%29-by-Scanning-Electron-Microscopy-under-High-Vacuum-pone.0032676.s002.ogv.480p.vp9.webm
vacuum-022,https://upload.wikimedia.org/wikipedia/commons/a/a1/Rodin_coil_-_120_vac_%3D_Flying_magnets..._separating_neodymium_magnets_via_Rodin_coil_%28TEST12%29.webm
vacuum-023,https://upload.wikimedia.org/wikipedia/commons/3/3d/The_Story_of_Hoover_Dam.webm
vacuum-024,https://upload.wikimedia.org/wikipedia/commons/transcoded/6/64/Vacuum_fluctuations_revealed_through_spontaneous_parametric_down-conversion.ogv/Vacuum_fluctuations_revealed_through_spontaneous_parametric_down-conversion.ogv.480p.vp9.webm
vacuum-025,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/3a/Herbert_Hoover_video_montage.ogv/Herbert_Hoover_video_montage.ogv.240p.vp9.webm
vacuum-026,https://upload.wikimedia.org/wikipedia/commons/b/b7/Vacuum_Packaging_Machine.webm
printer-002,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/fe/UV_inkjet_printing_on_letter_box.ogv/UV_inkjet_printing_on_letter_box.ogv.480p.vp9.webm
printer-003,https://upload.wikimedia.org/wikipedia/commons/transcoded/9/99/Electronica_2025%2C_Bangalore_International_Exhibition_Centre%2C_16.webm/Electronica_2025%2C_Bangalore_International_Exhibition_Centre%2C_16.webm.480p.vp9.webm
printer-004,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/0c/NIOSH_Scientists_Investigating_Pollution_From_Office_Equipment.webm/NIOSH_Scientists_Investigating_Pollution_From_Office_Equipment.webm.480p.vp9.webm
printer-005,https://upload.wikimedia.org/wikipedia/commons/transcoded/1/1d/Space_Station_Live-_3-D_Printing_on_the_Station.webm/Space_Station_Live-_3-D_Printing_on_the_Station.webm.480p.vp9.webm
printer-006,https://upload.wikimedia.org/wikipedia/commons/transcoded/1/14/FALHA_DO_CARTUCHO_DE_TINTA_-_O_QUE_FAZER.webm/FALHA_DO_CARTUCHO_DE_TINTA_-_O_QUE_FAZER.webm.480p.vp9.webm
printer-007,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c1/Wikipedia_-_25_years_of_humanity_at_its_best.webm/Wikipedia_-_25_years_of_humanity_at_its_best.webm.480p.vp9.webm
printer-008,https://upload.wikimedia.org/wikipedia/commons/transcoded/5/5e/Space_Station_Live-_Setting_up_a_Machine_Shop_in_Space.webm/Space_Station_Live-_Setting_up_a_Machine_Shop_in_Space.webm.480p.vp9.webm
printer-009,https://upload.wikimedia.org/wikipedia/commons/transcoded/8/80/Space_Station_Live-_Space-Made_Presents_Unboxed.webm/Space_Station_Live-_Space-Made_Presents_Unboxed.webm.480p.vp9.webm
printer-010,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c6/Space_Station_Live-_Update_on_3-D_Printing_in_Space.webm/Space_Station_Live-_Update_on_3-D_Printing_in_Space.webm.480p.vp9.webm
