record_id,product_class,title,source_platform,source_page_url,creator,license_id,license_url,license_evidence_url,license_checked_at,duration_seconds,width,height,language,procedure_or_scene,relevance,commercial_use,modification,redistribution_rule,personality_or_privacy,status,status_reason,reviewer_1,reviewer_2,local_file_sha256,notes
espresso-039,Espresso Machine,A Barista Cleaning an Espresso Machine Filter,Pexels,https://www.pexels.com/video/a-barista-cleaning-an-espresso-machine-filter-13736522/,Mizuno K,PEXELS-CONTENT-LICENSE,https://www.pexels.com/license/,https://www.pexels.com/video/a-barista-cleaning-an-espresso-machine-filter-13736522/,2026-07-23,12.012,2160,3840,und,"espresso machine operation, maintenance, or troubleshooting",machine_candidate,permitted,permitted,"Pexels Content License; project use additionally covered by owner-confirmed-2026-07-21-dataset-expansion",pending_content_screen,owner_authorized_candidate,"Owner-authorized download; pending automated scope, privacy, safety, and quality screening",Codex-machine-prescreen,,6854715a67d9695af00433f3018d8063f91038744ee2eb316b7e31486d723dbc,development_candidate; pexels_video_id=13736522
espresso-040,Espresso Machine,"Making Espresso with Modern Coffee Machine",Pexels,https://www.pexels.com/video/making-espresso-with-modern-coffee-machine-34780936/,Diego Castro Calderon,PEXELS-CONTENT-LICENSE,https://www.pexels.com/license/,https://www.pexels.com/video/making-espresso-with-modern-coffee-machine-34780936/,2026-07-23,8.642,2160,3840,und,"espresso machine operation, maintenance, or troubleshooting",machine_candidate,permitted,permitted,"Pexels Content License; project use additionally covered by owner-confirmed-2026-07-21-dataset-expansion",pending_content_screen,owner_authorized_candidate,"Owner-authorized download; pending automated scope, privacy, safety, and quality screening",Codex-machine-prescreen,,9359fc489fc0eca410cb303612f5a843e2db9e708c8a8cc82afb8e4b18b88ce7,development_candidate; pexels_video_id=34780936
espresso-041,Espresso Machine,"A Person Making Coffee from the Coffee Machine",Pexels,https://www.pexels.com/video/a-person-making-coffee-from-the-coffee-machine-4146091/,Natasha Filippovskaya,PEXELS-CONTENT-LICENSE,https://www.pexels.com/license/,https://www.pexels.com/video/a-person-making-coffee-from-the-coffee-machine-4146091/,2026-07-23,4.333,1280,720,und,"espresso machine operation, maintenance, or troubleshooting",machine_candidate,permitted,permitted,"Pexels Content License; project use additionally covered by owner-confirmed-2026-07-21-dataset-expansion",pending_content_screen,owner_authorized_candidate,"Owner-authorized download; pending automated scope, privacy, safety, and quality screening",Codex-machine-prescreen,,238153aff5c31b88ca3fd05826e36e576287d0cf166c0ebcb34e5f815345a287,development_candidate; pexels_video_id=4146091
espresso-042,Espresso Machine,"Person Using Espresso Machine",Pexels,https://www.pexels.com/video/person-using-espresso-machine-6961810/,ArtHouse Studio,PEXELS-CONTENT-LICENSE,https://www.pexels.com/license/,https://www.pexels.com/video/person-using-espresso-machine-6961810/,2026-07-23,28.000,1440,2560,und,"espresso machine operation, maintenance, or troubleshooting",machine_candidate,permitted,permitted,"Pexels Content License; project use additionally covered by owner-confirmed-2026-07-21-dataset-expansion",pending_content_screen,owner_authorized_candidate,"Owner-authorized download; pending automated scope, privacy, safety, and quality screening",Codex-machine-prescreen,,2c6c0c14d9a57f6b2611dad730528496369acb798a54f011dabfc4f24f09dc03,development_candidate; pexels_video_id=6961810
