scene_id,record_id,status,frame_count,frame_paths_json,model,model_revision,device,dtype,prompt_version,processed_at,error
espresso-001-scene-0009,espresso-001,success,2,"[""data_video/vlm_frames/espresso-001-scene-0009/frame_01.jpg"",""data_video/vlm_frames/espresso-001-scene-0009/frame_02.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:48:45.185517+00:00,
espresso-002-scene-0001,espresso-002,success,3,"[""data_video/vlm_frames/espresso-002-scene-0001/frame_01.jpg"",""data_video/vlm_frames/espresso-002-scene-0001/frame_02.jpg"",""data_video/vlm_frames/espresso-002-scene-0001/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:48:52.053337+00:00,
espresso-003-scene-0001,espresso-003,success,3,"[""data_video/vlm_frames/espresso-003-scene-0001/frame_01.jpg"",""data_video/vlm_frames/espresso-003-scene-0001/frame_02.jpg"",""data_video/vlm_frames/espresso-003-scene-0001/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:49:00.710626+00:00,
pressure-001-scene-0001,pressure-001,success,3,"[""data_video/vlm_frames/pressure-001-scene-0001/frame_01.jpg"",""data_video/vlm_frames/pressure-001-scene-0001/frame_02.jpg"",""data_video/vlm_frames/pressure-001-scene-0001/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:49:05.894616+00:00,
printer-001-scene-0001,printer-001,success,3,"[""data_video/vlm_frames/printer-001-scene-0001/frame_01.jpg"",""data_video/vlm_frames/printer-001-scene-0001/frame_02.jpg"",""data_video/vlm_frames/printer-001-scene-0001/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:49:11.356812+00:00,
vacuum-001-scene-0001,vacuum-001,success,3,"[""data_video/vlm_frames/vacuum-001-scene-0001/frame_01.jpg"",""data_video/vlm_frames/vacuum-001-scene-0001/frame_02.jpg"",""data_video/vlm_frames/vacuum-001-scene-0001/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:49:15.976328+00:00,
vacuum-002-scene-0001,vacuum-002,success,3,"[""data_video/vlm_frames/vacuum-002-scene-0001/frame_01.jpg"",""data_video/vlm_frames/vacuum-002-scene-0001/frame_02.jpg"",""data_video/vlm_frames/vacuum-002-scene-0001/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:49:20.750113+00:00,
washing-001-scene-0001,washing-001,success,3,"[""data_video/vlm_frames/washing-001-scene-0001/frame_01.jpg"",""data_video/vlm_frames/washing-001-scene-0001/frame_02.jpg"",""data_video/vlm_frames/washing-001-scene-0001/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:49:26.432878+00:00,
washing-002-scene-0001,washing-002,success,3,"[""data_video/vlm_frames/washing-002-scene-0001/frame_01.jpg"",""data_video/vlm_frames/washing-002-scene-0001/frame_02.jpg"",""data_video/vlm_frames/washing-002-scene-0001/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:49:35.622296+00:00,
washing-003-scene-0001,washing-003,success,3,"[""data_video/vlm_frames/washing-003-scene-0001/frame_01.jpg"",""data_video/vlm_frames/washing-003-scene-0001/frame_02.jpg"",""data_video/vlm_frames/washing-003-scene-0001/frame_03.jpg""]",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,cuda:0,bfloat16,catalog-grounded-visible-scene-json-v2,2026-07-20T05:49:42.344936+00:00,
