record_id,inventory_status,source_page_url,direct_url,source_variant,transport,local_path,downloaded_at,bytes,sha256,content_type,etag,last_modified,authorization_reference
printer-004,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:NIOSH_Scientists_Investigating_Pollution_From_Office_Equipment.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/0c/NIOSH_Scientists_Investigating_Pollution_From_Office_Equipment.webm/NIOSH_Scientists_Investigating_Pollution_From_Office_Equipment.webm.480p.vp9.webm,wikimedia_transcode,curl,data_video/raw/candidate_sources/printer-004.webm,2026-07-21T10:41:57.472161+00:00,1973765,24137c79f6c64e5d8a5c0b09a9345406691c780c293d67f432f7be0a708b502f,,,,owner-confirmed-2026-07-21-dataset-expansion
printer-005,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Space_Station_Live-_3-D_Printing_on_the_Station.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/1/1d/Space_Station_Live-_3-D_Printing_on_the_Station.webm/Space_Station_Live-_3-D_Printing_on_the_Station.webm.480p.vp9.webm,wikimedia_transcode,curl,data_video/raw/candidate_sources/printer-005.webm,2026-07-21T10:42:11.389069+00:00,49979276,9f1caf039bc3ddcb9dd4cc2b94404ff20150e2e7ed7a85ac012bd1b4515d22ce,,,,owner-confirmed-2026-07-21-dataset-expansion
printer-006,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:FALHA_DO_CARTUCHO_DE_TINTA_-_O_QUE_FAZER.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/1/14/FALHA_DO_CARTUCHO_DE_TINTA_-_O_QUE_FAZER.webm/FALHA_DO_CARTUCHO_DE_TINTA_-_O_QUE_FAZER.webm.480p.vp9.webm,wikimedia_transcode,curl,data_video/raw/candidate_sources/printer-006.webm,2026-07-21T10:42:14.577252+00:00,12274015,e8e2ae0c31768243fd1d36391db1738a6c68bf9a707e0eba03ae8a8327048e25,,,,owner-confirmed-2026-07-21-dataset-expansion
printer-007,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Wikipedia_-_25_years_of_humanity_at_its_best.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c1/Wikipedia_-_25_years_of_humanity_at_its_best.webm/Wikipedia_-_25_years_of_humanity_at_its_best.webm.480p.vp9.webm,wikimedia_transcode,curl,data_video/raw/candidate_sources/printer-007.webm,2026-07-21T10:42:18.113845+00:00,34641727,5e25de418413a8169beca28177b1021c8910558e59c51ff98b26371c3a98fbaf,,,,owner-confirmed-2026-07-21-dataset-expansion
printer-008,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Space_Station_Live-_Setting_up_a_Machine_Shop_in_Space.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/5/5e/Space_Station_Live-_Setting_up_a_Machine_Shop_in_Space.webm/Space_Station_Live-_Setting_up_a_Machine_Shop_in_Space.webm.480p.vp9.webm,wikimedia_transcode,curl,data_video/raw/candidate_sources/printer-008.webm,2026-07-21T10:42:22.448271+00:00,38897032,59cb92c6666c9afed64f8f02b361e00518b6bb382f0853116fead449249dba54,,,,owner-confirmed-2026-07-21-dataset-expansion
printer-009,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Space_Station_Live-_Space-Made_Presents_Unboxed.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/8/80/Space_Station_Live-_Space-Made_Presents_Unboxed.webm/Space_Station_Live-_Space-Made_Presents_Unboxed.webm.480p.vp9.webm,wikimedia_transcode,curl,data_video/raw/candidate_sources/printer-009.webm,2026-07-21T10:42:27.206656+00:00,35048336,99da10081f05698cfc6f4794f046d8944225938a30c798dbf8bd70ca0a789e6d,,,,owner-confirmed-2026-07-21-dataset-expansion
printer-010,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Space_Station_Live-_Update_on_3-D_Printing_in_Space.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c6/Space_Station_Live-_Update_on_3-D_Printing_in_Space.webm/Space_Station_Live-_Update_on_3-D_Printing_in_Space.webm.480p.vp9.webm,wikimedia_transcode,curl,data_video/raw/candidate_sources/printer-010.webm,2026-07-21T10:42:30.578103+00:00,21850095,0797f8ac4a4cceff2f2754a9f6d9ce522247f6fef5d34857b3b598ec4c290f49,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-003,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Robot_vacuum_cleaner_-_Japan_-_2024_June_24.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/32/Robot_vacuum_cleaner_-_Japan_-_2024_June_24.webm/Robot_vacuum_cleaner_-_Japan_-_2024_June_24.webm.480p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-003.webm,2026-07-21T10:29:55.103383+00:00,1537728,ff8f173e2e3570c158950b184f1570c65017ac86638bfe595c216fb574206216,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-004,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Staubsauger_Henry_Plus!_170_Breakdown.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/05/Staubsauger_Henry_Plus%21_170_Breakdown.webm/Staubsauger_Henry_Plus%21_170_Breakdown.webm.480p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-004.webm,2026-07-21T10:29:56.125939+00:00,596721,7e1835a2410bdd54a803b8b8d0420e47fc4a01833e34fc8dd6df55f407212b67,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-005,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Armenian_Sign_Language_(ArSL)_-_%D6%83%D5%B8%D5%B7%D5%A5%D5%AF%D5%B8%D6%82%D5%AC_-_vacuum_cleaner.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/5/53/Armenian_Sign_Language_%28ArSL%29_-_%D6%83%D5%B8%D5%B7%D5%A5%D5%AF%D5%B8%D6%82%D5%AC_-_vacuum_cleaner.webm/Armenian_Sign_Language_%28ArSL%29_-_%D6%83%D5%B8%D5%B7%D5%A5%D5%AF%D5%B8%D6%82%D5%AC_-_vacuum_cleaner.webm.480p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-005.webm,2026-07-21T10:29:57.138045+00:00,277153,51c5a35c52e86d82a1df8c481997d65a47f6650a5011e7275602f01b0726b0a8,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-006,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:NASA_Lander_to_Test_Vacuum_Cleaner_on_Moon_for_Sample_Collection_(Dennis_Harris_LPV).webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/0a/NASA_Lander_to_Test_Vacuum_Cleaner_on_Moon_for_Sample_Collection_%28Dennis_Harris_LPV%29.webm/NASA_Lander_to_Test_Vacuum_Cleaner_on_Moon_for_Sample_Collection_%28Dennis_Harris_LPV%29.webm.480p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-006.webm,2026-07-21T10:29:58.147098+00:00,11172082,2ed56941f9ab04740dfc4bd5f83afaa36199c9652092d63e7be45ce7e6072e16,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-007,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Sparking_commutator.ogv,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/22/Sparking_commutator.ogv/Sparking_commutator.ogv.480p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-007.webm,2026-07-21T10:29:59.225145+00:00,9659280,64cc8a36d46c63311ba61c182bc5aa9ae335ada2fb352f9b119ec17a98fc947a,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-008,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:A_day_in_the_life_of_NEATO_our_cleaning_bot.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/dc/A_day_in_the_life_of_NEATO_our_cleaning_bot.webm/A_day_in_the_life_of_NEATO_our_cleaning_bot.webm.480p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-008.webm,2026-07-21T10:30:00.294979+00:00,17553620,e6cfce931933424bc860fc2b479e33c502523cfdcca85c6ea80280715e2dcb73,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-009,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Vacuuming_with_Snickerdoodle_(GEDC2330).webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/f3/Vacuuming_with_Snickerdoodle_%28GEDC2330%29.webm/Vacuuming_with_Snickerdoodle_%28GEDC2330%29.webm.480p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-009.webm,2026-07-21T10:30:01.410589+00:00,7078941,4ec97206c8dcd7b0f7f00b783296cc4672c572e3e2cae3d9759197deeb8b3f17,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-010,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Vorwerk_Kobold_VR100_in_Zeitraffer_im_B%C3%BCro.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/4c/Vorwerk_Kobold_VR100_in_Zeitraffer_im_B%C3%BCro.webm/Vorwerk_Kobold_VR100_in_Zeitraffer_im_B%C3%BCro.webm.480p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-010.webm,2026-07-21T10:30:02.466609+00:00,1268065,637d8034a115214879e048884627f06ccd389c7c04a71c3c081ec08ada5814c3,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-011,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Standwerkers_hebben_hoogste_woord_tijdens_nationaal_concours-510005.ogv,https://upload.wikimedia.org/wikipedia/commons/transcoded/8/84/Standwerkers_hebben_hoogste_woord_tijdens_nationaal_concours-510005.ogv/Standwerkers_hebben_hoogste_woord_tijdens_nationaal_concours-510005.ogv.480p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-011.webm,2026-07-21T10:30:03.486952+00:00,15991890,fadac6c91b742b584a12e2897ea2162a4f016e7b10dbc2ba190abccde058ff31,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-012,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Waarom_piekuren%5E_Weeknummer_50-45_-_Open_Beelden_-_30705.ogv,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/4f/Waarom_piekuren%5E_Weeknummer_50-45_-_Open_Beelden_-_30705.ogv/Waarom_piekuren%5E_Weeknummer_50-45_-_Open_Beelden_-_30705.ogv.240p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-012.webm,2026-07-21T10:30:04.593651+00:00,5038033,dee586f10c1e462a1e62977c1651b11d7753c9885e51b6637cf9dd2b5a8c3aa1,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-013,owner_authorized_candidate,"https://commons.wikimedia.org/wiki/File:Artemis_IV_Liquid_Oxygen_Tank_Constructed,_Moves_to_Next_Phase_of_Production_(MAF_20260526_CS4_LOX_VAC_to_CellD).webm",https://upload.wikimedia.org/wikipedia/commons/transcoded/e/e2/Artemis_IV_Liquid_Oxygen_Tank_Constructed%2C_Moves_to_Next_Phase_of_Production_%28MAF_20260526_CS4_LOX_VAC_to_CellD%29.webm/Artemis_IV_Liquid_Oxygen_Tank_Constructed%2C_Moves_to_Next_Phase_of_Production_%28MAF_20260526_CS4_LOX_VAC_to_CellD%29.webm.480p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-013.webm,2026-07-21T10:30:05.639302+00:00,32632477,c42d429485ef9398fd195c2db9d82695e7c2c7500636e861aa3cb6645ca58017,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-014,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:Ivanka_Vacuuming.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/f2/Ivanka_Vacuuming.webm/Ivanka_Vacuuming.webm.480p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-014.webm,2026-07-21T10:30:06.838262+00:00,128370,42c60e65a097292f2dec82ca694056e14eff1bb960e02ef296e76776bc45c36c,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-015,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:STORIE_Thermal_Vacuum_Test_at_NASA_Goddard_Space_Flight_Center_(SVS14874_060925_TVAC-Part1_4K_YouTube).webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/b/b3/STORIE_Thermal_Vacuum_Test_at_NASA_Goddard_Space_Flight_Center_%28SVS14874_060925_TVAC-Part1_4K_YouTube%29.webm/STORIE_Thermal_Vacuum_Test_at_NASA_Goddard_Space_Flight_Center_%28SVS14874_060925_TVAC-Part1_4K_YouTube%29.webm.480p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-015.webm,2026-07-21T10:30:07.847343+00:00,25861472,921f42a126c5561195784b97f2a8796829bca6e4ce2a5ec837954347be272cd3,,,,owner-confirmed-2026-07-21-dataset-expansion
vacuum-016,owner_authorized_candidate,https://commons.wikimedia.org/wiki/File:STORIE_Thermal_Vacuum_Test_at_NASA_Goddard_Space_Flight_Center_(SVS14874_061025_TVAC-Part2_4K_YouTube).webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/21/STORIE_Thermal_Vacuum_Test_at_NASA_Goddard_Space_Flight_Center_%28SVS14874_061025_TVAC-Part2_4K_YouTube%29.webm/STORIE_Thermal_Vacuum_Test_at_NASA_Goddard_Space_Flight_Center_%28SVS14874_061025_TVAC-Part2_4K_YouTube%29.webm.480p.vp9.webm,wikimedia_transcode,existing_recovery,data_video/raw/candidate_sources/vacuum-016.webm,2026-07-21T10:30:09.009177+00:00,51749068,76497290c75f8f27c0cdff6676c7ac564be2b63ac45f1f132296dd7c533463f2,,,,owner-confirmed-2026-07-21-dataset-expansion
