query_id,product_class,query_type,split,mode,top1_iou,r1_iou_0.3,temporal_ap_0.3,r1_iou_0.5,temporal_ap_0.5,r1_iou_0.7,temporal_ap_0.7
VQ-066,Printer,troubleshooting,source_disjoint_test,hybrid,0.000000,0,0.166667,0,0.166667,0,0.166667
VQ-067,Printer,safety,source_disjoint_test,hybrid,0.000000,0,0.100000,0,0.100000,0,0.100000
VQ-068,Printer,safety,source_disjoint_test,hybrid,0.200000,0,,0,,0,
VQ-070,Vacuum,operation,development,hybrid,1.000000,1,0.833333,1,0.833333,1,0.805556
VQ-072,Vacuum,state,development,hybrid,1.000000,1,0.456944,1,0.500000,1,0.500000
VQ-073,Vacuum,state,development,hybrid,0.990909,1,0.400000,1,0.500000,1,0.500000
VQ-074,Vacuum,state,development,hybrid,0.000000,0,0.050000,0,0.000000,0,0.000000
VQ-075,Vacuum,component,development,hybrid,0.995370,1,1.000000,1,1.000000,1,1.000000
VQ-078,Vacuum,maintenance,development,hybrid,0.000000,0,0.500000,0,0.500000,0,
VQ-083,Vacuum,safety,source_disjoint_test,hybrid,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-086,Washing Machine,operation,development,hybrid,0.996638,1,0.821429,1,0.571429,1,0.571429
VQ-087,Washing Machine,operation,development,hybrid,0.882353,1,0.450000,1,0.450000,1,0.450000
VQ-088,Washing Machine,state,development,hybrid,0.000000,0,0.315476,0,0.315476,0,0.241071
VQ-090,Washing Machine,state,development,hybrid,0.000000,0,,0,,0,
VQ-091,Washing Machine,component,development,hybrid,0.996638,1,0.750000,1,1.000000,1,1.000000
VQ-092,Washing Machine,component,development,hybrid,0.191516,0,0.500000,0,0.500000,0,0.500000
VQ-093,Washing Machine,component,development,hybrid,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-094,Washing Machine,maintenance,development,hybrid,0.996425,1,1.000000,1,1.000000,1,1.000000
VQ-095,Washing Machine,maintenance,source_disjoint_test,hybrid,0.000000,0,,0,,0,
VQ-096,Washing Machine,maintenance,source_disjoint_test,hybrid,1.000000,1,0.642857,1,0.642857,1,0.642857
VQ-097,Washing Machine,troubleshooting,source_disjoint_test,hybrid,0.191516,0,0.250000,0,0.250000,0,0.250000
VQ-098,Washing Machine,troubleshooting,source_disjoint_test,hybrid,0.600288,1,1.000000,1,1.000000,0,
VQ-099,Washing Machine,safety,source_disjoint_test,hybrid,0.000000,0,0.500000,0,0.500000,0,0.500000
VQ-001,Air Fryer,operation,development,tri_hybrid,1.000000,1,0.584790,1,0.553030,1,0.603306
VQ-002,Air Fryer,operation,development,tri_hybrid,0.801998,1,0.452517,1,0.451389,1,0.456349
VQ-003,Air Fryer,operation,development,tri_hybrid,0.987467,1,0.642857,1,0.642857,1,0.642857
VQ-004,Air Fryer,state,development,tri_hybrid,0.000000,0,0.166040,0,0.166040,0,0.166040
VQ-005,Air Fryer,state,development,tri_hybrid,1.000000,1,0.270525,1,0.276517,1,0.291879
VQ-006,Air Fryer,state,development,tri_hybrid,0.000000,0,0.430784,0,0.332290,0,0.332290
VQ-007,Air Fryer,component,development,tri_hybrid,0.985000,1,0.491913,1,0.407296,1,0.322245
VQ-008,Air Fryer,component,development,tri_hybrid,0.611765,1,0.408700,1,0.408700,0,0.191378
VQ-009,Air Fryer,component,development,tri_hybrid,0.797000,1,0.377352,1,0.368687,1,0.368687
VQ-010,Air Fryer,maintenance,development,tri_hybrid,1.000000,1,0.658333,1,0.611111,1,0.611111
VQ-011,Air Fryer,maintenance,source_disjoint_test,tri_hybrid,0.997184,1,0.345960,1,0.343750,1,0.392857
VQ-012,Air Fryer,maintenance,source_disjoint_test,tri_hybrid,1.000000,1,0.250000,1,0.272727,1,0.272727
VQ-013,Air Fryer,troubleshooting,source_disjoint_test,tri_hybrid,0.000000,0,0.097222,0,0.097222,0,0.097222
VQ-014,Air Fryer,troubleshooting,source_disjoint_test,tri_hybrid,0.000000,0,0.500000,0,,0,
VQ-016,Air Fryer,safety,source_disjoint_test,tri_hybrid,0.990777,1,0.431818,1,0.431818,1,0.493506
VQ-018,Espresso Machine,operation,development,tri_hybrid,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-019,Espresso Machine,operation,development,tri_hybrid,0.989881,1,0.926667,1,0.926667,1,0.926667
VQ-020,Espresso Machine,operation,development,tri_hybrid,0.995370,1,1.000000,1,1.000000,1,1.000000
VQ-021,Espresso Machine,state,development,tri_hybrid,0.000000,0,0.350694,0,0.350694,0,0.350694
VQ-022,Espresso Machine,state,development,tri_hybrid,0.599606,1,0.732249,1,0.732249,0,0.512843
VQ-023,Espresso Machine,state,development,tri_hybrid,1.000000,1,0.539683,1,0.539683,1,0.539683
VQ-024,Espresso Machine,component,development,tri_hybrid,0.808427,1,0.677143,1,0.677143,1,0.752381
VQ-026,Espresso Machine,component,development,tri_hybrid,1.000000,1,0.700000,1,0.777778,1,0.777778
VQ-027,Espresso Machine,maintenance,development,tri_hybrid,0.795625,1,0.750000,1,0.750000,1,0.750000
VQ-029,Espresso Machine,maintenance,source_disjoint_test,tri_hybrid,0.000000,0,0.500000,0,0.500000,0,
VQ-030,Espresso Machine,troubleshooting,source_disjoint_test,tri_hybrid,0.795625,1,1.000000,1,1.000000,1,1.000000
VQ-035,Pressure Cooker,operation,development,tri_hybrid,0.990228,1,0.537376,1,0.521513,1,0.523951
VQ-036,Pressure Cooker,operation,development,tri_hybrid,0.801187,1,0.518939,1,0.551515,1,0.622222
VQ-037,Pressure Cooker,operation,development,tri_hybrid,0.804350,1,0.796166,1,0.820227,1,0.844697
VQ-038,Pressure Cooker,state,development,tri_hybrid,1.000000,1,0.714286,1,0.714286,1,1.000000
VQ-039,Pressure Cooker,state,development,tri_hybrid,1.000000,1,0.384615,1,0.384615,1,0.384615
VQ-040,Pressure Cooker,state,development,tri_hybrid,0.000000,0,0.031250,0,0.041667,0,0.041667
VQ-041,Pressure Cooker,component,development,tri_hybrid,0.000000,0,0.000000,0,0.000000,0,
VQ-042,Pressure Cooker,component,development,tri_hybrid,0.999502,1,0.866667,1,0.866667,1,0.866667
VQ-043,Pressure Cooker,component,development,tri_hybrid,0.000000,0,0.076923,0,0.076923,0,0.076923
VQ-044,Pressure Cooker,maintenance,development,tri_hybrid,1.000000,1,0.500000,1,0.500000,1,0.500000
VQ-046,Pressure Cooker,maintenance,source_disjoint_test,tri_hybrid,0.000000,0,0.500000,0,0.500000,0,0.500000
VQ-047,Pressure Cooker,troubleshooting,source_disjoint_test,tri_hybrid,0.000000,0,0.066667,0,0.066667,0,0.066667
VQ-049,Pressure Cooker,troubleshooting,source_disjoint_test,tri_hybrid,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-050,Pressure Cooker,safety,source_disjoint_test,tri_hybrid,0.000000,0,0.050000,0,0.050000,0,0.050000
VQ-052,Printer,operation,development,tri_hybrid,0.000000,0,0.500000,0,,0,
VQ-053,Printer,operation,development,tri_hybrid,0.800661,1,0.833333,1,0.833333,1,0.833333
VQ-054,Printer,operation,development,tri_hybrid,1.000000,1,0.833333,1,0.833333,1,0.833333
VQ-055,Printer,state,development,tri_hybrid,0.000000,0,0.500000,0,0.500000,0,0.500000
VQ-056,Printer,state,development,tri_hybrid,0.000000,0,0.729592,0,0.729592,0,0.460952
VQ-057,Printer,state,development,tri_hybrid,0.790788,1,0.590909,1,0.590909,1,0.590909
VQ-058,Printer,component,development,tri_hybrid,0.000000,0,0.416667,0,,0,
VQ-059,Printer,component,development,tri_hybrid,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-061,Printer,maintenance,development,tri_hybrid,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-063,Printer,maintenance,source_disjoint_test,tri_hybrid,1.000000,1,0.750000,1,0.750000,1,0.750000
VQ-065,Printer,troubleshooting,source_disjoint_test,tri_hybrid,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-066,Printer,troubleshooting,source_disjoint_test,tri_hybrid,0.800661,1,0.750000,1,0.750000,1,0.750000
VQ-067,Printer,safety,source_disjoint_test,tri_hybrid,0.000000,0,0.142857,0,0.142857,0,0.142857
VQ-068,Printer,safety,source_disjoint_test,tri_hybrid,0.000000,0,,0,,0,
VQ-070,Vacuum,operation,development,tri_hybrid,1.000000,1,0.833333,1,0.833333,1,1.000000
VQ-072,Vacuum,state,development,tri_hybrid,0.000000,0,0.617045,0,0.647854,0,0.647854
VQ-073,Vacuum,state,development,tri_hybrid,0.990909,1,0.333333,1,0.500000,1,0.500000
VQ-074,Vacuum,state,development,tri_hybrid,0.000000,0,0.140909,0,0.090909,0,0.090909
VQ-075,Vacuum,component,development,tri_hybrid,0.000000,0,0.333333,0,0.333333,0,0.333333
VQ-078,Vacuum,maintenance,development,tri_hybrid,0.000000,0,0.200000,0,0.200000,0,
VQ-083,Vacuum,safety,source_disjoint_test,tri_hybrid,0.000000,0,0.500000,0,0.500000,0,0.500000
VQ-086,Washing Machine,operation,development,tri_hybrid,0.996638,1,0.840909,1,0.590909,1,0.590909
VQ-087,Washing Machine,operation,development,tri_hybrid,0.970149,1,0.520000,1,0.520000,1,0.520000
VQ-088,Washing Machine,state,development,tri_hybrid,0.000000,0,0.375000,0,0.375000,0,0.311111
VQ-090,Washing Machine,state,development,tri_hybrid,0.000000,0,,0,,0,
VQ-091,Washing Machine,component,development,tri_hybrid,0.996638,1,0.833333,1,1.000000,1,1.000000
VQ-092,Washing Machine,component,development,tri_hybrid,0.191516,0,0.500000,0,0.500000,0,0.500000
VQ-093,Washing Machine,component,development,tri_hybrid,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-094,Washing Machine,maintenance,development,tri_hybrid,0.996425,1,1.000000,1,1.000000,1,1.000000
VQ-095,Washing Machine,maintenance,source_disjoint_test,tri_hybrid,0.000000,0,,0,,0,
VQ-096,Washing Machine,maintenance,source_disjoint_test,tri_hybrid,1.000000,1,0.611111,1,0.611111,1,0.611111
VQ-097,Washing Machine,troubleshooting,source_disjoint_test,tri_hybrid,0.191516,0,0.250000,0,0.250000,0,0.250000
VQ-098,Washing Machine,troubleshooting,source_disjoint_test,tri_hybrid,0.000000,0,0.500000,0,0.500000,0,
VQ-099,Washing Machine,safety,source_disjoint_test,tri_hybrid,0.000000,0,0.500000,0,0.500000,0,0.500000
