dimension,group,mode,queries,mean_iou,r1_iou_0.3,temporal_map_0.3,r1_iou_0.5,temporal_map_0.5,r1_iou_0.7,temporal_map_0.7
query_type,troubleshooting,dense,9,0.398482,0.444444,0.505471,0.444444,0.557292,0.333333,0.494048
query_type,troubleshooting,visual,9,0.355797,0.444444,0.479718,0.333333,0.414682,0.333333,0.426304
query_type,troubleshooting,hybrid,9,0.287492,0.333333,0.404684,0.333333,0.447917,0.222222,0.369048
query_type,troubleshooting,tri_hybrid,9,0.420867,0.444444,0.573765,0.444444,0.582986,0.444444,0.594841
split,development,bm25,52,0.449273,0.480769,0.352755,0.442308,0.343642,0.423077,0.345329
split,development,dense,52,0.451575,0.480769,0.426695,0.480769,0.431308,0.423077,0.420482
split,development,visual,52,0.444196,0.500000,0.440000,0.461538,0.438560,0.423077,0.452584
split,development,hybrid,52,0.546246,0.576923,0.504255,0.576923,0.511294,0.538462,0.508457
split,development,tri_hybrid,52,0.609637,0.653846,0.559167,0.653846,0.561797,0.615385,0.578076
split,source_disjoint_test,bm25,22,0.163230,0.181818,0.249719,0.181818,0.263973,0.136364,0.231735
split,source_disjoint_test,dense,22,0.362142,0.363636,0.389770,0.363636,0.393998,0.318182,0.353403
split,source_disjoint_test,visual,22,0.326927,0.363636,0.403754,0.318182,0.374688,0.318182,0.374126
split,source_disjoint_test,hybrid,22,0.352963,0.363636,0.319186,0.363636,0.332790,0.318182,0.296541
split,source_disjoint_test,tri_hybrid,22,0.398898,0.409091,0.487282,0.409091,0.487692,0.409091,0.492762
